"slug","city_name_ru","hotel_name","image_url","star_rating","region_id","tripadvisor_rating","max_tripadvisor_rating","facilities","price"
"apkeys_sarria","Барселона","Апартаменты Apkeys Sarria","https://cdn.ostrovok.ru/t/orig/extranet/11/31/1131edbe75863e6d50ed4385f1bc3a1bcd476a48.jpeg",,513,0,5,"",7135.00
"ameron_abion_villa_minihotel","Берлин","Мини-отель Ameron Abion Villa","https://cdn.ostrovok.ru/t/orig/mec/c2/56/c256f0dc7a2359ec7a7763da2cb55cfe23214c8d.jpeg",,536,4,5,"",11927.45
"meininger_hotel_berlin_mitte_humboldthaus","Берлин","Meininger Hotel Berlin Mitte Humboldthaus","https://cdn.ostrovok.ru/t/orig/second/1c/1c/1c1cb8cf2d1a8e770bd165fc29cacc1492106f70.jpeg",,536,4,5,"",6547.71
"buromaapart_suites","Берлин","Buroma Apart Suites","https://cdn.ostrovok.ru/t/orig/carsolize/f1/ec/f1ecf7f8dd9645b18678dd31e18fc7ac8e9435de.jpeg",,536,5,5,"",7327.36
"green_hostel_3","Берлин","Green Hostel","https://cdn.ostrovok.ru/t/orig/second/1389604866/0bd75ef7dbc9361013460706871b8491.jpg",,536,3,5,"",4860.64
"bear_inn_hostel__appartment","Берлин","Bear Inn Hostel & Appartment","https://cdn.ostrovok.ru/t/orig/carsolize/30/81/30811fe41072a5d6e3c78b46c73c7d7cdcd33cac.jpeg",,536,2.5,5,"",4309.46
"zimmervermietung_stieber","Берлин","Zimmervermietung Stieber","https://cdn.ostrovok.ru/t/orig/second/b2/73/b273a3fda932e7f791e39bbdbd70c7740d3ee0cc.jpeg",,536,0,5,"",7432.53
"ibis_berlin_ostbahnhof","Берлин","ibis Berlin Ostbahnhof","https://cdn.ostrovok.ru/t/orig/second/45/a3/45a35f427429289326d493f73a4e5c48b4e8b6a0.jpeg",,536,4,5,"",5534.28
"ferienzimmerberlin_elberfelderstr","Берлин","Ferien Zimmer Berlin Elberfelderstr.","https://cdn.ostrovok.ru/t/orig/second/61/20/612027d37c6cb5c2586294bf65cbd670153eb278.jpeg",,536,5,5,"",7432.53
"ibis_budget_berlin_ost","Берлин","Ibis Budget Berlin Ost","https://cdn.ostrovok.ru/t/orig/ostrovok/e3/fa/e3fafebbaba9fa80449f6f3d35e32593fa41010c.jpeg",,536,3,5,"",3326.94
"_0x2756d","Берлин","Hotel ZOE by AMANO GROUP","https://cdn.ostrovok.ru/t/orig/second/b4/75/b475f7023538b9a11cc08884c279f3cba11bc21b.jpeg",,536,4.5,5,"",6795.46
"hampp__inh_22994_","Берлин","Hampp Inh 22994","https://cdn.ostrovok.ru/t/orig/ostrovok/cf/97/cf972cfade3923f44b72bb4bed8de2a88fed744b.jpeg",,536,0,5,"",5779.07
"hotel_sternchen","Берлин","Hotel Sternchen","https://cdn.ostrovok.ru/t/orig/second/1389604237/978306f4b66bc60405611f0e6939aa3e.jpg",,536,4,5,"",4460.01
"hotel_elegia_am_kurfurstendamm","Берлин","Hotel Pension Elegia am Kurfürstendamm","https://cdn.ostrovok.ru/t/orig/second/1c/1a/1c1af3153b35f0d6a77fd7b65895f3202a78bda8.jpeg",,536,3,5,"",4290.65
"landmark_eco_hotel_ex_five_floors","Берлин","Eco Hotel Landmark","https://cdn.ostrovok.ru/t/orig/second/97/4e/974e2c9bb5ecc1d6165051a3d4212aa8f21ff977.jpeg",,536,3.5,5,"",6724.67
"aaphotelcom","Берлин","AapHotel.com Hotel & Hostel","https://cdn.ostrovok.ru/t/orig/extranet/media/d61dd74f731646e29cf65466275df398.jpg",,536,1.5,5,"",4967.47
"berlin_wedding_togostrasse","Берлин","Berlin Wedding Togostraße","https://cdn.ostrovok.ru/t/orig/second/0a/01/0a01debbf8d5ee194645de0b2887fc9e386b4f29.jpeg",,536,0,5,"",7432.53
"eisenacher_strasse__inh_22958","Берлин","Eisenacher Strasse Inh 22958","https://cdn.ostrovok.ru/t/orig/second/36/1d/361d42d122334ba6b93235b8f980241443319ad5.jpeg",,536,3.5,5,"",5779.07
"zentrales_apartment_prenzlauer_berg","Берлин","Zentrales Apartment Prenzlauer Berg","https://cdn.ostrovok.ru/t/orig/carsolize/26/5d/265da978a393b7e75ed589fe4a09077ad82d7149.jpeg",,536,0,5,"",5087.45
"azimut_hotel_berlin_city_south","Берлин","AZIMUT Hotel City South Berlin","https://cdn.ostrovok.ru/t/orig/mec/fd/f4/fdf4c0ea576f364e95eb8ab7c092464d9dcbf22a.jpeg",,536,3.5,5,"",4085.00
"_0x17f9a","Берлин","Bellevue Berlin Hov 50529","https://cdn.ostrovok.ru/t/orig/carsolize/26/5c/265c08c5c3deebaeb9ae076ea9f21ff527626ca1.jpeg",,536,0,5,"",5779.07
"winnine_cozy_home_share","Бангкок","Winnine Cozy Home","https://cdn.ostrovok.ru/t/orig/second/04/bd/04bd6400a915bf56a617924383eacd7e30df24f0.jpeg",,604,0,5,"",3245.94
"bangkok_travelers_phayathai","Бангкок","Bangkok Travelers Phayathai","https://cdn.ostrovok.ru/t/orig/mec/19/10/1910303cd91d1f98a40f3518d526a890c725ea0c.jpeg",,604,4.5,5,"",2769.61
"penang_palace","Бангкок","Penang Palace","https://cdn.ostrovok.ru/t/orig/mec/hotels/8000000/7790000/7780900/7780835/7780835_3_b.jpg",,604,3.5,5,"",1623.54
"paris_in_bangkok","Бангкок","Paris In Bangkok","https://cdn.ostrovok.ru/t/orig/mec/24/3b/243b49fc51b274be36b6a9ad7d7471a5a66a8a04.jpeg",,604,1.5,5,"",1628.08
"_0x408ab","Бангкок","ZEN Rooms Vibhavadee-Rangsit","https://cdn.ostrovok.ru/t/orig/second/8a/18/8a1872f880d7c36fd9d0e58a5bfd851ffd2e0a3e.jpeg",,604,0,5,"",1669.77
"the_fah_silom","Бангкок","the FAH silom","https://cdn.ostrovok.ru/t/orig/second/b2/a0/b2a09991dfd5caa2230111f295979f397262cdb5.jpeg",,604,4.5,5,"",2855.31
"metro_resort_pratunam","Бангкок","Metro Resort Pratunam","https://cdn.ostrovok.ru/t/orig/content/8f/e5/8fe58bb08648b7108358ad24aa93f9d07e75e0c8.jpeg",,604,2.5,5,"",2750.70
"ratchaprarop_building","Бангкок","Ratchaprarop Building","https://cdn.ostrovok.ru/t/orig/second/7e/0b/7e0bef6c686c2a5b33c191410b988fb6ab8994ef.jpeg",,604,3,5,"",2321.72
"siam_privi_residence","Бангкок","Siam Privi Residence","https://cdn.ostrovok.ru/t/orig/second/c5/34/c5346f3caeb379e8d85540441e4f9896144c3e59.jpeg",,604,3.5,5,"",1022.05
